tau_m,tau_s,tau_plus,tau_minus,a_minus,a_plus,CFI0,CF01,CFI1,alpha,TH0,TH1,fitness
5.029325513196482e-10,5.117302052785924e-11,2.6985923753665694e-09,1.8261029651352234e-09,4.043974193548387e-05,0.00012953629032258067,0.6322580645161291,0.8961876832844574,0.8486803519061584,0.11055718475073315,0.3312316715542522,0.7238269794721408,0.98
4.882697947214077e-10,1.0747800586510264e-10,1.6208797653958944e-09,7.307706093189965e-09,5.791793548387097e-05,0.00013558467741935486,0.5777126099706745,0.8944281524926686,0.8513196480938416,0.1404692082111437,0.6703812316715543,0.8716275659824048,-0.0469697
2.3760997067448688e-09,7.714076246334312e-10,4.964868035190616e-09,2.1774877810361683e-09,5.6889806451612904e-05,0.00027318548387096777,0.7501466275659824,0.926099706744868,0.7914956011730205,0.6656891495601173,0.8848240469208212,0.8901026392961877,-0.175758
5.029325513196482e-10,1.8255131964809384e-10,3.486862170087977e-09,1.7558260019550344e-09,4.043974193548387e-05,0.00012953629032258067,0.6322580645161291,0.4589442815249267,0.8478005865102639,0.12463343108504399,0.6690615835777126,0.892741935483871,-0.304545
5.029325513196482e-10,1.1686217008797655e-10,1.7686803519061584e-09,1.8963799283154123e-09,5.6889806451612904e-05,9.808467741935484e-05,0.6190615835777127,0.4589442815249267,0.8460410557184751,0.16686217008797655,0.6690615835777126,0.8934017595307918,-0.145455
3.3695014662756604e-09,6.892961876832844e-10,5.0141348973607035e-09,1.8963799283154123e-09,0.0001987716129032258,0.0001957661290322581,0.6331378299120235,0.8099706744868035,0.48533724340175954,0.8187683284457478,0.8960410557184751,0.6618035190615836,-0.430649
4.882697947214077e-10,1.0747800586510264e-10,3.271319648093842e-09,3.583027044639948e-09,0.00018849032258064514,0.0003118951612903226,0.7501466275659824,0.9225806451612902,0.3164222873900293,0.11055718475073315,0.5522727272727274,0.7357038123167156,0.98
5.469208211143696e-10,1.1686217008797655e-10,1.6147214076246335e-09,7.457044639947867e-09,5.791793548387097e-05,0.00013558467741935486,0.5777126099706745,0.8944281524926686,0.8513196480938416,0.13870967741935486,0.5852639296187684,0.8716275659824048,0
5.029325513196482e-10,1.8255131964809384e-10,3.486862170087977e-09,2.212626262626263e-09,0.00010212748387096773,0.00013104838709677421,0.5759530791788856,0.40263929618768324,0.8478005865102639,0.3498533724340176,0.6690615835777126,0.5549120234604106,-0.716883
4.846041055718475e-10,7.667155425219942e-10,1.6147214076246335e-09,6.183274682306941e-09,5.766090322580645e-05,0.00013558467741935486,0.5759530791788856,0.9357771260997066,0.8372434017595308,0.3639296187683285,0.7126099706744868,0.5549120234604106,-0.861039
2.379765395894429e-09,4.2184750733137826e-10,3.3698533724340176e-09,1.8261029651352234e-09,5.2777290322580646e-05,0.00025231854838709677,0.6190615835777127,0.4888563049853373,0.8460410557184751,0.16686217008797655,0.6684017595307918,0.8934017595307918,-0.14697
2.1268328445747803e-09,7.65542521994135e-10,4.767800586510264e-09,2.1774877810361683e-09,0.00011857754838709676,0.00026229838709677423,0.7290322580645162,0.926099706744868,0.7774193548387097,0.5530791788856305,0.3780791788856305,0.8901026392961877,0.36
5.322580645161291e-10,7.932551319648095e-11,5.1188269794721405e-09,6.3238286086673184e-09,0.00010598296774193547,9.808467741935484e-05,0.6190615835777127,0.4589442815249267,0.3956011730205279,0.16686217008797655,0.6479472140762463,0.8940615835777126,-0.6146320000000001
2.3760997067448688e-09,7.643695014662757e-10,1.6393548387096774e-09,7.869921798631476e-09,2.4760774193548384e-05,0.00013558467741935486,0.12551319648093842,0.48533724340175954,0.8337243401759531,0.35689149560117306,0.7126099706744868,0.6815982404692082,0
