Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11
1,1.99556e-08,0.0434832,0.0214655,0.0421039,0.04473,0.0150032,0.0251439,0.0524277,0.0127774,0.0506381,0.0172092,0.0101289,0.016488
1,1.9973e-08,0.0446768,0.0216124,0.0431129,0.0458106,0.014987,0.025093,0.0533679,0.0127335,0.0518436,0.0171474,0.010055,0.0164561
1,1.99822e-08,0.045681,0.0217894,0.0439886,0.0467448,0.0149998,0.0251279,0.0542141,0.0127209,0.052888,0.0171554,0.010013,0.0164854
1,2.00396e-08,0.0511697,0.0261309,0.0501444,0.052666,0.0155737,0.0288283,0.060286,0.0131572,0.0592761,0.0215391,0.0101036,0.0209389
1,2.01655e-08,0.0587947,0.0322847,0.0604534,0.0625833,0.0167674,0.0367037,0.0713328,0.0140933,0.0703533,0.0276172,0.0103973,0.0269285
1,2.049e-08,0.0632384,0.0343361,0.0663339,0.0682041,0.0158396,0.0388512,0.0763099,0.0131606,0.0765945,0.0292143,0.00922353,0.0286619
1,2.05965e-08,0.0609518,0.0327794,0.0637305,0.0655063,0.0149035,0.0368505,0.073315,0.0123902,0.0739586,0.0276921,0.00864201,0.0273379
1,2.07814e-08,0.0568241,0.0303731,0.0613184,0.0629168,0.0141718,0.0372225,0.0714146,0.0117877,0.0717442,0.0253045,0.00813432,0.0248776
1,2.08337e-08,0.0568341,0.0309134,0.0614722,0.0634547,0.0141537,0.0382098,0.072965,0.0116711,0.072555,0.0250932,0.0079929,0.0245964
1,2.09139e-08,0.0564781,0.0356573,0.0629538,0.0646328,0.0147286,0.0435056,0.0759816,0.0121554,0.0737681,0.0303115,0.00823751,0.0296805
1,2.1262e-08,0.0481807,0.0480584,0.0605168,0.0598475,0.0151686,0.0559063,0.0742575,0.0128169,0.0673123,0.0471008,0.00852601,0.0462167
1,2.12629e-08,0.0481641,0.0480514,0.0604967,0.0598246,0.0151638,0.0558939,0.0742306,0.0128131,0.0672884,0.0470979,0.00852344,0.0462135
1,2.12838e-08,0.0480595,0.04791,0.0602191,0.059469,0.0150832,0.0555821,0.073761,0.0127448,0.0669999,0.0470308,0.00848224,0.0461285
1,2.16145e-08,0.048122,0.0423266,0.0568196,0.0560634,0.0132119,0.0471014,0.0674064,0.0110643,0.0638943,0.0409288,0.00728724,0.0401304
1,2.1771e-08,0.0517554,0.0387437,0.0553263,0.0552932,0.0126722,0.042738,0.0661412,0.0101378,0.0629811,0.0368549,0.006614,0.0359742
1,2.17974e-08,0.052658,0.0388585,0.0556422,0.0559237,0.0127117,0.0428209,0.067206,0.0100681,0.0637387,0.0364757,0.00654013,0.0355563
1,2.25141e-08,0.0402933,0.0264713,0.0418379,0.0436544,0.00955263,0.0329918,0.0547609,0.00710766,0.0503426,0.0219967,0.00446705,0.020903
1,2.25275e-08,0.0399764,0.0261974,0.0414569,0.0432646,0.00945856,0.0326267,0.054294,0.00704155,0.0499553,0.0217316,0.00442875,0.0206727
1,2.25803e-08,0.0422182,0.0255943,0.0417976,0.0438521,0.00949328,0.0316951,0.0549624,0.00691864,0.0507489,0.0209381,0.00434351,0.0199295
1,2.29274e-08,0.0414963,0.0209901,0.0382291,0.0412348,0.0243446,0.0279274,0.0535644,0.0219451,0.0479991,0.0167407,0.0189732,0.015883
1,2.32034e-08,0.0356399,0.026782,0.0362674,0.0374148,0.0244199,0.0330548,0.0497481,0.0224076,0.0427783,0.0259239,0.0192822,0.0251015
1,2.33557e-08,0.0395185,0.0266704,0.037017,0.0383719,0.0233304,0.0323542,0.0506166,0.0209563,0.0435601,0.0259672,0.0179044,0.0250525
1,2.33865e-08,0.0400114,0.0264981,0.0370919,0.0385518,0.0230113,0.0319942,0.0506792,0.02059,0.043736,0.0257564,0.0175683,0.0248258
1,2.36798e-08,0.039348,0.0231535,0.0344288,0.0362646,0.019083,0.0268449,0.0469153,0.0167468,0.0417155,0.0219125,0.0141737,0.0212896
1,2.37642e-08,0.0408983,0.0226628,0.0357036,0.0376938,0.0182003,0.0256929,0.047628,0.015879,0.0433335,0.0209013,0.0133363,0.0203853
