Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11,V(t)_12,V(t)_13,V(t)_14,V(t)_15,V(t)_16,V(t)_17,V(t)_18,V(t)_19
2,3.38357e-08,0.292715,0.340504,0.143183,0.282657,0.369602,0.162524,0.25215,0.351379,0.49106,0.39185,0.121329,0.104645,0.307557,0.121094,0.183139,0.0959177,0.207861,0.143813,0.131506,0.117409
2,3.38688e-08,0.285782,0.328406,0.135377,0.267427,0.348278,0.154207,0.247276,0.333678,0.474796,0.377645,0.114413,0.0989026,0.295877,0.118183,0.172874,0.0916413,0.196385,0.141207,0.123976,0.113044
2,3.39019e-08,0.276545,0.314823,0.127753,0.252504,0.327774,0.145936,0.240092,0.315993,0.478697,0.361817,0.107771,0.0933047,0.28308,0.116875,0.162927,0.0872046,0.185217,0.137232,0.11672,0.108226
2,3.3935e-08,0.265791,0.300378,0.120374,0.238024,0.312738,0.137822,0.233188,0.298584,0.479536,0.344968,0.101396,0.0878941,0.269671,0.114194,0.155741,0.0827189,0.174436,0.132333,0.10977,0.103152
2,3.39681e-08,0.254108,0.285528,0.113281,0.224078,0.331157,0.12994,0.248117,0.281631,0.472995,0.327797,0.0953058,0.0826986,0.256024,0.110567,0.149041,0.0782647,0.164176,0.126842,0.108998,0.104927
2,3.40012e-08,0.242526,0.270608,0.106499,0.210723,0.339554,0.122344,0.255015,0.26526,0.461251,0.31058,0.089512,0.0777349,0.242407,0.106315,0.142009,0.0738996,0.15852,0.121009,0.120734,0.104887
2,3.40343e-08,0.250105,0.255861,0.122031,0.197956,0.340527,0.115065,0.256269,0.24955,0.445944,0.293588,0.097298,0.0730118,0.229016,0.101677,0.134842,0.0696635,0.152096,0.115017,0.127365,0.103296
2,3.40674e-08,0.251622,0.241457,0.147674,0.185865,0.336042,0.108046,0.253353,0.234548,0.428248,0.276849,0.107195,0.0691659,0.215986,0.0968314,0.127549,0.0655831,0.145217,0.108912,0.130231,0.100614
2,3.41052e-08,0.248486,0.22543,0.165596,0.18236,0.326494,0.100536,0.246456,0.218291,0.406396,0.258574,0.113209,0.0764332,0.201645,0.0912011,0.11952,0.0611291,0.137084,0.102129,0.130188,0.0966528
2,3.41431e-08,0.241606,0.210253,0.174718,0.196554,0.313737,0.0934774,0.237038,0.210759,0.383689,0.241133,0.115173,0.0799552,0.187983,0.0856081,0.111744,0.0638488,0.128903,0.0955384,0.12768,0.0920989
