Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11
12,2.7867e-07,0.0183637,0.0247067,0.0668607,0.080497,0.0395396,0.0537536,0.0727534,0.0408043,0.0298468,0.0445446,0.0428247,0.00946669
12,2.78681e-07,0.0214324,0.0243297,0.0744791,0.081098,0.0414132,0.0528721,0.0731202,0.0400824,0.0301408,0.0487181,0.0419612,0.00926129
12,2.78692e-07,0.0241448,0.0239458,0.081173,0.081485,0.0430161,0.0519822,0.073312,0.0393597,0.030348,0.0523702,0.0411079,0.00905967
12,2.78703e-07,0.0265201,0.0235585,0.0869948,0.0816777,0.0443659,0.0510907,0.073346,0.0386411,0.0304761,0.0555314,0.0402694,0.00886278
12,2.78714e-07,0.028596,0.0231678,0.0920415,0.0816975,0.0454909,0.0501974,0.0732392,0.0379258,0.0305338,0.0582562,0.0394438,0.00867002
12,2.78725e-07,0.0304044,0.0227739,0.0963957,0.0815619,0.0464146,0.0493019,0.073006,0.037213,0.0305281,0.060591,0.0386292,0.00848085
12,2.78736e-07,0.0319613,0.0223797,0.100101,0.0812882,0.047152,0.0484105,0.0726611,0.0365072,0.030466,0.0625612,0.03783,0.00829616
12,2.78747e-07,0.0332979,0.0219842,0.103237,0.0808901,0.0477249,0.0475201,0.0722155,0.0358057,0.0303531,0.064211,0.0370421,0.00811492
12,2.78759e-07,0.0344283,0.02159,0.105842,0.0803834,0.0481469,0.0466365,0.0716826,0.0351125,0.0301955,0.0655631,0.0362696,0.00793799
12,2.7877e-07,0.0353755,0.0211969,0.107975,0.0797797,0.0484344,0.0457586,0.0710717,0.0344266,0.029998,0.0666505,0.0355105,0.00776483
12,2.78781e-07,0.0361586,0.0208046,0.109685,0.0790885,0.0486015,0.0448853,0.0703903,0.0337468,0.0297645,0.0675007,0.034763,0.00759493
12,2.78792e-07,0.0367899,0.0204154,0.111007,0.0783236,0.0486596,0.0440219,0.0696505,0.0330769,0.0295005,0.068133,0.0340308,0.00742909
12,2.78869e-07,0.0703341,0.0176911,0.153018,0.0804545,0.0827444,0.03832,0.0633219,0.0286783,0.0270411,0.0680725,0.0293323,0.00632072
12,2.78945e-07,0.0813245,0.0153417,0.16251,0.0761852,0.0931508,0.0331702,0.0563121,0.0247738,0.0241604,0.0636375,0.0252354,0.00542353
12,2.79022e-07,0.0811074,0.0132483,0.156289,0.0692226,0.0918895,0.0286116,0.0493772,0.021342,0.0212439,0.0574185,0.0216842,0.00465256
12,2.79099e-07,0.0756607,0.0112781,0.143189,0.0614694,0.0852985,0.0246275,0.0428118,0.0183358,0.0184508,0.0507026,0.01862,0.00393413
12,2.79176e-07,0.0681688,0.00956656,0.127753,0.0538549,0.076666,0.0211695,0.0369125,0.0157338,0.0159255,0.0442373,0.0159815,0.00331797
12,2.79253e-07,0.0602408,0.00813328,0.112242,0.0468026,0.0676505,0.01808,0.031714,0.0134987,0.0136977,0.0383891,0.0137129,0.0028458
12,2.79329e-07,0.052637,0.00698313,0.0977103,0.0404718,0.0590465,0.01552,0.0272916,0.011585,0.0117924,0.0331669,0.0117642,0.00244075
12,2.79406e-07,0.0456691,0.00599314,0.0845825,0.0348896,0.0511956,0.013318,0.0234561,0.00994008,0.0101377,0.0285765,0.0100912,0.00209331
12,2.79483e-07,0.0394495,0.00514186,0.0729599,0.0300179,0.0442049,0.0114253,0.0201426,0.00852677,0.00870697,0.0245777,0.00865505,0.00179521
12,2.7956e-07,0.0338787,0.00441102,0.0626941,0.0257967,0.0380429,0.00972546,0.0172061,0.00731407,0.00747251,0.0211092,0.00742335,0.00153963
12,2.79637e-07,0.0290929,0.0036474,0.0538919,0.0221524,0.0327144,0.00834199,0.0146397,0.00625319,0.00635925,0.0180439,0.00636675,0.00126244
12,2.7964e-07,0.0299398,0.00675855,0.0535148,0.0219965,0.032486,0.00828297,0.0174064,0.00667458,0.00753884,0.0197741,0.00632168,0.00258868
12,2.79644e-07,0.0307513,0.00975977,0.0531402,0.0218418,0.032259,0.00822437,0.0200732,0.00707993,0.00867577,0.02144,0.00627694,0.00386812
12,2.79647e-07,0.0315344,0.012677,0.0527652,0.0216869,0.0320318,0.00816571,0.0226631,0.00747279,0.00977989,0.0230561,0.00623215,0.00511182
12,2.79651e-07,0.0322779,0.0154672,0.0523957,0.0215343,0.0318079,0.00810794,0.0251378,0.00784738,0.0108349,0.0245987,0.00618804,0.00630141
